Container, 0, 0, 0, 2.7e-05, 2.7e-05, 0
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 1.0_to_0.1, 0.1, 0
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 2.0_to_0.1, 0.1, 1
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 3.0_to_0.1, 0.1, 2
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 1.0_to_0.2, 0.2, 14
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 2.0_to_0.2, 0.2, 15
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 3.0_to_0.2, 0.2, 16
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 1.0_to_0.3, 0.3, 28
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 2.0_to_0.3, 0.3, 29
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 3.0_to_0.3, 0.3, 30
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 0.1_to_1.0, 1.0, 42
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 2.1_to_1.0, 1.0, 43
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 3.1_to_1.0, 1.0, 44
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 0.1_to_1.2, 1.2, 56
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 2.1_to_1.2, 1.2, 57
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 3.1_to_1.2, 1.2, 58
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 0.1_to_1.3, 1.3, 70
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 2.1_to_1.3, 1.3, 71
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 3.1_to_1.3, 1.3, 72
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 0.2_to_2.0, 2.0, 84
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 1.2_to_2.0, 2.0, 85
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 3.2_to_2.0, 2.0, 86
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 0.2_to_2.1, 2.1, 98
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 1.2_to_2.1, 2.1, 99
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 3.2_to_2.1, 2.1, 100
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 0.2_to_2.3, 2.3, 112
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 1.2_to_2.3, 2.3, 113
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 3.2_to_2.3, 2.3, 114
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 0.3_to_3.0, 3.0, 126
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 1.3_to_3.0, 3.0, 127
Link, 0, 0-LINK10-HOST6, 0.000000, 0.000000, 0.000000, topology, 2.3_to_3.0, 3.0, 128
